Measure	E1	E2	Persons	Assessment_Items
1.82	8	99	6739e4d9335667b4852ccf4e	TkTime2UndstndComplxIssues
.55	8	100	6739e4d9335667b4852ccf4e	DecsnsNtGoingExpected
1.22	8	101	6739e4d9335667b4852ccf4e	Problems2Steps
1.30	8	102	6739e4d9335667b4852ccf4e	RunThruScenarios
1.53	8	103	6739e4d9335667b4852ccf4e	ExamMultiPerspctvs
1.15	8	104	6739e4d9335667b4852ccf4e	ConsiderAssumptns
2.04	8	105	6739e4d9335667b4852ccf4e	Self-Aware
1.05	8	106	6739e4d9335667b4852ccf4e	ArticulateBiases
2.04	8	107	6739e4d9335667b4852ccf4e	AskQs
-.08	8	108	6739e4d9335667b4852ccf4e	PtMyselfUncomfrtSituations
1.51	8	109	6739e4d9335667b4852ccf4e	ImCreative
1.96	8	110	6739e4d9335667b4852ccf4e	PrepB4Mtg1stTime
1.35	8	111	6739e4d9335667b4852ccf4e	MultiScenariosConsidProb
1.40	8	112	6739e4d9335667b4852ccf4e	KnowNonneg
1.53	8	113	6739e4d9335667b4852ccf4e	AdaptMsg2Audience
1.35	8	114	6739e4d9335667b4852ccf4e	SeeSomeone
.44	8	115	6739e4d9335667b4852ccf4e	WillingCompromise
1.46	8	116	6739e4d9335667b4852ccf4e	ImCollaborative
1.76	8	117	6739e4d9335667b4852ccf4e	ImAdaptivePerson
1.76	8	118	6739e4d9335667b4852ccf4e	MntnComposureUndPressure
1.85	8	119	6739e4d9335667b4852ccf4e	Open2DivPerspctvs
1.98	8	120	6739e4d9335667b4852ccf4e	ThinkB4Speak
.44	8	121	6739e4d9335667b4852ccf4e	InfluencedByOthers
1.40	8	122	6739e4d9335667b4852ccf4e	NurtureConnctns
-.79	8	123	6739e4d9335667b4852ccf4e	UsePeopl
2.04	8	124	6739e4d9335667b4852ccf4e	Listen2Others
-.71	8	125	6739e4d9335667b4852ccf4e	EasilyDistracted
1.89	8	126	6739e4d9335667b4852ccf4e	Open2Feedback
.92	8	127	6739e4d9335667b4852ccf4e	MovePstSmllTalk
.61	8	128	6739e4d9335667b4852ccf4e	BuildRapportWAnyone
1.35	8	129	6739e4d9335667b4852ccf4e	MaintainRelationships
.26	8	130	6739e4d9335667b4852ccf4e	RelationshpsRTx
-.36	8	131	6739e4d9335667b4852ccf4e	MakeDecWMissInfo
1.01	8	132	6739e4d9335667b4852ccf4e	IntentnlChoices
.87	8	133	6739e4d9335667b4852ccf4e	ObjectiveDecisions
1.05	8	134	6739e4d9335667b4852ccf4e	ConsideredBiases
.44	8	135	6739e4d9335667b4852ccf4e	Quick2Act
1.57	8	136	6739e4d9335667b4852ccf4e	Resourceful
1.63	8	137	6739e4d9335667b4852ccf4e	ConseqPotActions
1.01	8	138	6739e4d9335667b4852ccf4e	ExistFrame4Decisions
.99	8	139	6739e4d9335667b4852ccf4e	DpAnalGuideDec
1.05	8	140	6739e4d9335667b4852ccf4e	ComfortSharIdeasPersSett
2.11	8	141	6739e4d9335667b4852ccf4e	Observant
2.23	8	142	6739e4d9335667b4852ccf4e	Listener
1.89	8	143	6739e4d9335667b4852ccf4e	Reflect
.11	8	144	6739e4d9335667b4852ccf4e	SocialSitsDrainEnergy
.67	8	145	6739e4d9335667b4852ccf4e	EnergizedMtgNewPeop
.71	8	146	6739e4d9335667b4852ccf4e	SpeakUpPitchIdeas
.55	8	147	6739e4d9335667b4852ccf4e	DrvnSocEng
-.79	8	148	6739e4d9335667b4852ccf4e	Conversations
.75	9	1	67d83dca69a508da9e6df3ea	EnergizedByPotential
1.19	9	2	67d83dca69a508da9e6df3ea	EagertoPursue
.92	9	3	67d83dca69a508da9e6df3ea	PursuePerfection
.32	9	4	67d83dca69a508da9e6df3ea	ComfortUnchartedT
-.24	9	5	67d83dca69a508da9e6df3ea	ActBeforeThinkg
.96	9	6	67d83dca69a508da9e6df3ea	Adventurous
.25	9	7	67d83dca69a508da9e6df3ea	ComfDecUncert
1.40	9	8	67d83dca69a508da9e6df3ea	Pass2Inovate
-.07	9	9	67d83dca69a508da9e6df3ea	InternReas2Compl
1.29	9	10	67d83dca69a508da9e6df3ea	CommunIdeas
1.59	9	11	67d83dca69a508da9e6df3ea	ShapeMyPath
-.40	9	12	67d83dca69a508da9e6df3ea	Procrastinate
2.51	9	13	67d83dca69a508da9e6df3ea	AlwaysMorLearn
-.53	9	14	67d83dca69a508da9e6df3ea	StruggleDecs
-.51	9	15	67d83dca69a508da9e6df3ea	KnowEnuf
-.23	9	16	67d83dca69a508da9e6df3ea	DiscourageByFailure
-1.05	9	17	67d83dca69a508da9e6df3ea	GiveUpChallenging
2.03	9	18	67d83dca69a508da9e6df3ea	DeterminedReachGls
.20	9	19	67d83dca69a508da9e6df3ea	SingularFocus
1.33	9	20	67d83dca69a508da9e6df3ea	Listen2Others
-.40	9	21	67d83dca69a508da9e6df3ea	AnnoyedIfNoIdea
.31	9	22	67d83dca69a508da9e6df3ea	FollowTraditions
1.33	9	23	67d83dca69a508da9e6df3ea	GoBeyondComfZone
-.49	9	24	67d83dca69a508da9e6df3ea	ObstaclesAsBlocks
1.70	9	25	67d83dca69a508da9e6df3ea	TackleChallenges
1.73	9	26	67d83dca69a508da9e6df3ea	MoveForward
2.07	9	27	67d83dca69a508da9e6df3ea	AskQuestions
1.99	9	28	67d83dca69a508da9e6df3ea	Slow2Adapt
2.54	9	29	67d83dca69a508da9e6df3ea	Persistent
1.17	9	30	67d83dca69a508da9e6df3ea	PivotWhenNeeded
2.43	9	31	67d83dca69a508da9e6df3ea	StandbyCommitements
2.43	9	32	67d83dca69a508da9e6df3ea	KeepPromises
1.08	9	33	67d83dca69a508da9e6df3ea	HandleFrustration
1.51	9	34	67d83dca69a508da9e6df3ea	ReflectOnFailure
1.88	9	35	67d83dca69a508da9e6df3ea	AcknowledgeMistakes
-.48	9	36	67d83dca69a508da9e6df3ea	ComfortWFailure
-.28	9	37	67d83dca69a508da9e6df3ea	GoesWrongIsMyFault
-.70	9	38	67d83dca69a508da9e6df3ea	Resistant2ChangeAfterFail
1.33	9	39	67d83dca69a508da9e6df3ea	AcceptRespons4Err
-1.19	9	40	67d83dca69a508da9e6df3ea	FailureStopTrying
.31	9	41	67d83dca69a508da9e6df3ea	WorseFailures
-.88	9	42	67d83dca69a508da9e6df3ea	BetterFailurs
1.45	9	43	67d83dca69a508da9e6df3ea	IncorpEmrgInfo
1.22	9	44	67d83dca69a508da9e6df3ea	AdaptStances
1.76	9	45	67d83dca69a508da9e6df3ea	Open2Feedback
1.91	9	46	67d83dca69a508da9e6df3ea	HumbleInContributions
.03	9	47	67d83dca69a508da9e6df3ea	Others2knowWhatIdid
1.33	9	48	67d83dca69a508da9e6df3ea	FocusNeedsTeam
1.91	9	49	67d83dca69a508da9e6df3ea	Legacy2ElevateOthers
1.87	9	50	67d83dca69a508da9e6df3ea	ImAGoodListener
1.08	9	51	67d83dca69a508da9e6df3ea	SpeakUp@Mtgs
1.51	9	52	67d83dca69a508da9e6df3ea	ValueInputFromAll
1.33	9	53	67d83dca69a508da9e6df3ea	DrivenLongTrmSucc
2.15	9	54	67d83dca69a508da9e6df3ea	WholeTeamSucc
2.33	9	55	67d83dca69a508da9e6df3ea	TrustEss4Innovation
1.70	9	56	67d83dca69a508da9e6df3ea	TakeResp4Setbacks
.82	9	57	67d83dca69a508da9e6df3ea	PersonalGainsRImportant
1.22	9	58	67d83dca69a508da9e6df3ea	InnoExec
1.28	9	59	67d83dca69a508da9e6df3ea	ConfidentAbility2Assemble
1.31	9	60	67d83dca69a508da9e6df3ea	StrongTeamPerform
1.24	9	61	67d83dca69a508da9e6df3ea	TrustIndWRespons
1.47	9	62	67d83dca69a508da9e6df3ea	ProvGuidance2Teams
2.18	9	63	67d83dca69a508da9e6df3ea	CMyTeamGetRecog
-.25	9	64	67d83dca69a508da9e6df3ea	TakeCreditofMyTeam
-.58	9	65	67d83dca69a508da9e6df3ea	ComfortwConflict
2.15	9	66	67d83dca69a508da9e6df3ea	BelieveValRelations
1.91	9	67	67d83dca69a508da9e6df3ea	Adapt2DiffDynamics
1.28	9	68	67d83dca69a508da9e6df3ea	IDindividTalent
1.51	9	69	67d83dca69a508da9e6df3ea	OpenComms
.00	9	70	67d83dca69a508da9e6df3ea	Vulnerable
1.01	9	71	67d83dca69a508da9e6df3ea	TeamsDevBetSoluts
1.94	9	72	67d83dca69a508da9e6df3ea	SafeTeamEnvirons
1.39	9	73	67d83dca69a508da9e6df3ea	Dependable
1.39	9	74	67d83dca69a508da9e6df3ea	RiskTkgImport
.91	9	75	67d83dca69a508da9e6df3ea	ComfortWConstrctvConflict
1.27	9	76	67d83dca69a508da9e6df3ea	DiffBetwnConstr&DestrtvConflct
.65	9	77	67d83dca69a508da9e6df3ea	AddrssConflctsDirect
-.21	9	78	67d83dca69a508da9e6df3ea	ConflctLeadsBetOutcms
.93	9	79	67d83dca69a508da9e6df3ea	WantConflictGoAway
.50	9	80	67d83dca69a508da9e6df3ea	SeprtPersnFrmIssue
1.33	9	81	67d83dca69a508da9e6df3ea	GoodEmpathizg
1.22	9	82	67d83dca69a508da9e6df3ea	AdaptCommNeedsOthers
1.07	9	83	67d83dca69a508da9e6df3ea	ComfortDelvrngSensFdbk
1.99	9	84	67d83dca69a508da9e6df3ea	ListenB4Spkng
1.33	9	85	67d83dca69a508da9e6df3ea	RemnCompsdNavDisagr
.62	9	86	67d83dca69a508da9e6df3ea	DiscernEmotClues
.75	9	87	67d83dca69a508da9e6df3ea	DiscEmotTrggrsConflct
1.57	9	88	67d83dca69a508da9e6df3ea	Slf-Reflct2ImprEmotAwrnss
1.73	9	89	67d83dca69a508da9e6df3ea	ComfortOwnRespnsOutcms
1.64	9	90	67d83dca69a508da9e6df3ea	Cmmttd2Promises
1.45	9	91	67d83dca69a508da9e6df3ea	AcknowledgeRoleInSucFail
1.39	9	92	67d83dca69a508da9e6df3ea	ProActCommsDlysObstcls
1.45	9	93	67d83dca69a508da9e6df3ea	NoSomthngUnreal
1.76	9	94	67d83dca69a508da9e6df3ea	MeetDeadlines
1.99	9	95	67d83dca69a508da9e6df3ea	LearnFrmMistakes
1.90	9	96	67d83dca69a508da9e6df3ea	ComfortRecFdbkColleag
.75	9	97	67d83dca69a508da9e6df3ea	BelieveBestSolProb
-1.44	9	98	67d83dca69a508da9e6df3ea	ThinkWOActing
1.70	9	99	67d83dca69a508da9e6df3ea	TkTime2UndstndComplxIssues
.42	9	100	67d83dca69a508da9e6df3ea	DecsnsNtGoingExpected
1.10	9	101	67d83dca69a508da9e6df3ea	Problems2Steps
1.17	9	102	67d83dca69a508da9e6df3ea	RunThruScenarios
1.41	9	103	67d83dca69a508da9e6df3ea	ExamMultiPerspctvs
1.03	9	104	67d83dca69a508da9e6df3ea	ConsiderAssumptns
1.91	9	105	67d83dca69a508da9e6df3ea	Self-Aware
.93	9	106	67d83dca69a508da9e6df3ea	ArticulateBiases
1.91	9	107	67d83dca69a508da9e6df3ea	AskQs
-.21	9	108	67d83dca69a508da9e6df3ea	PtMyselfUncomfrtSituations
1.39	9	109	67d83dca69a508da9e6df3ea	ImCreative
1.84	9	110	67d83dca69a508da9e6df3ea	PrepB4Mtg1stTime
1.22	9	111	67d83dca69a508da9e6df3ea	MultiScenariosConsidProb
1.28	9	112	67d83dca69a508da9e6df3ea	KnowNonneg
1.41	9	113	67d83dca69a508da9e6df3ea	AdaptMsg2Audience
1.22	9	114	67d83dca69a508da9e6df3ea	SeeSomeone
.31	9	115	67d83dca69a508da9e6df3ea	WillingCompromise
1.33	9	116	67d83dca69a508da9e6df3ea	ImCollaborative
1.63	9	117	67d83dca69a508da9e6df3ea	ImAdaptivePerson
1.63	9	118	67d83dca69a508da9e6df3ea	MntnComposureUndPressure
1.73	9	119	67d83dca69a508da9e6df3ea	Open2DivPerspctvs
1.85	9	120	67d83dca69a508da9e6df3ea	ThinkB4Speak
.31	9	121	67d83dca69a508da9e6df3ea	InfluencedByOthers
1.28	9	122	67d83dca69a508da9e6df3ea	NurtureConnctns
-.92	9	123	67d83dca69a508da9e6df3ea	UsePeopl
1.91	9	124	67d83dca69a508da9e6df3ea	Listen2Others
-.84	9	125	67d83dca69a508da9e6df3ea	EasilyDistracted
1.76	9	126	67d83dca69a508da9e6df3ea	Open2Feedback
.79	9	127	67d83dca69a508da9e6df3ea	MovePstSmllTalk
.48	9	128	67d83dca69a508da9e6df3ea	BuildRapportWAnyone
1.22	9	129	67d83dca69a508da9e6df3ea	MaintainRelationships
.13	9	130	67d83dca69a508da9e6df3ea	RelationshpsRTx
-.48	9	131	67d83dca69a508da9e6df3ea	MakeDecWMissInfo
.88	9	132	67d83dca69a508da9e6df3ea	IntentnlChoices
.75	9	133	67d83dca69a508da9e6df3ea	ObjectiveDecisions
.93	9	134	67d83dca69a508da9e6df3ea	ConsideredBiases
.31	9	135	67d83dca69a508da9e6df3ea	Quick2Act
1.45	9	136	67d83dca69a508da9e6df3ea	Resourceful
1.51	9	137	67d83dca69a508da9e6df3ea	ConseqPotActions
.88	9	138	67d83dca69a508da9e6df3ea	ExistFrame4Decisions
.86	9	139	67d83dca69a508da9e6df3ea	DpAnalGuideDec
.93	9	140	67d83dca69a508da9e6df3ea	ComfortSharIdeasPersSett
1.99	9	141	67d83dca69a508da9e6df3ea	Observant
2.11	9	142	67d83dca69a508da9e6df3ea	Listener
1.76	9	143	67d83dca69a508da9e6df3ea	Reflect
-.02	9	144	67d83dca69a508da9e6df3ea	SocialSitsDrainEnergy
.54	9	145	67d83dca69a508da9e6df3ea	EnergizedMtgNewPeop
.58	9	146	67d83dca69a508da9e6df3ea	SpeakUpPitchIdeas
.42	9	147	67d83dca69a508da9e6df3ea	DrvnSocEng
-.92	9	148	67d83dca69a508da9e6df3ea	Conversations
1.29	9	149	67d83dca69a508da9e6df3ea	PreferActiveParticipate
.70	10	1	6763b46518e4b44b2be6c127	EnergizedByPotential
1.14	10	2	6763b46518e4b44b2be6c127	EagertoPursue
.87	10	3	6763b46518e4b44b2be6c127	PursuePerfection
.27	10	4	6763b46518e4b44b2be6c127	ComfortUnchartedT
-.29	10	5	6763b46518e4b44b2be6c127	ActBeforeThinkg
.91	10	6	6763b46518e4b44b2be6c127	Adventurous
.20	10	7	6763b46518e4b44b2be6c127	ComfDecUncert
1.35	10	8	6763b46518e4b44b2be6c127	Pass2Inovate
-.12	10	9	6763b46518e4b44b2be6c127	InternReas2Compl
1.24	10	10	6763b46518e4b44b2be6c127	CommunIdeas
1.54	10	11	6763b46518e4b44b2be6c127	ShapeMyPath
-.45	10	12	6763b46518e4b44b2be6c127	Procrastinate
2.46	10	13	6763b46518e4b44b2be6c127	AlwaysMorLearn
-.58	10	14	6763b46518e4b44b2be6c127	StruggleDecs
-.56	10	15	6763b46518e4b44b2be6c127	KnowEnuf
-.28	10	16	6763b46518e4b44b2be6c127	DiscourageByFailure
-1.10	10	17	6763b46518e4b44b2be6c127	GiveUpChallenging
1.98	10	18	6763b46518e4b44b2be6c127	DeterminedReachGls
.15	10	19	6763b46518e4b44b2be6c127	SingularFocus
1.28	10	20	6763b46518e4b44b2be6c127	Listen2Others
-.45	10	21	6763b46518e4b44b2be6c127	AnnoyedIfNoIdea
.26	10	22	6763b46518e4b44b2be6c127	FollowTraditions
1.28	10	23	6763b46518e4b44b2be6c127	GoBeyondComfZone
-.54	10	24	6763b46518e4b44b2be6c127	ObstaclesAsBlocks
1.65	10	25	6763b46518e4b44b2be6c127	TackleChallenges
1.68	10	26	6763b46518e4b44b2be6c127	MoveForward
2.02	10	27	6763b46518e4b44b2be6c127	AskQuestions
1.94	10	28	6763b46518e4b44b2be6c127	Slow2Adapt
2.49	10	29	6763b46518e4b44b2be6c127	Persistent
1.12	10	30	6763b46518e4b44b2be6c127	PivotWhenNeeded
2.38	10	31	6763b46518e4b44b2be6c127	StandbyCommitements
2.38	10	32	6763b46518e4b44b2be6c127	KeepPromises
1.03	10	33	6763b46518e4b44b2be6c127	HandleFrustration
1.46	10	34	6763b46518e4b44b2be6c127	ReflectOnFailure
1.83	10	35	6763b46518e4b44b2be6c127	AcknowledgeMistakes
-.53	10	36	6763b46518e4b44b2be6c127	ComfortWFailure
-.33	10	37	6763b46518e4b44b2be6c127	GoesWrongIsMyFault
-.75	10	38	6763b46518e4b44b2be6c127	Resistant2ChangeAfterFail
1.28	10	39	6763b46518e4b44b2be6c127	AcceptRespons4Err
-1.24	10	40	6763b46518e4b44b2be6c127	FailureStopTrying
.26	10	41	6763b46518e4b44b2be6c127	WorseFailures
-.93	10	42	6763b46518e4b44b2be6c127	BetterFailurs
1.40	10	43	6763b46518e4b44b2be6c127	IncorpEmrgInfo
1.17	10	44	6763b46518e4b44b2be6c127	AdaptStances
1.71	10	45	6763b46518e4b44b2be6c127	Open2Feedback
1.86	10	46	6763b46518e4b44b2be6c127	HumbleInContributions
-.02	10	47	6763b46518e4b44b2be6c127	Others2knowWhatIdid
1.28	10	48	6763b46518e4b44b2be6c127	FocusNeedsTeam
1.86	10	49	6763b46518e4b44b2be6c127	Legacy2ElevateOthers
1.82	10	50	6763b46518e4b44b2be6c127	ImAGoodListener
1.03	10	51	6763b46518e4b44b2be6c127	SpeakUp@Mtgs
1.46	10	52	6763b46518e4b44b2be6c127	ValueInputFromAll
1.28	10	53	6763b46518e4b44b2be6c127	DrivenLongTrmSucc
2.10	10	54	6763b46518e4b44b2be6c127	WholeTeamSucc
2.28	10	55	6763b46518e4b44b2be6c127	TrustEss4Innovation
1.65	10	56	6763b46518e4b44b2be6c127	TakeResp4Setbacks
.77	10	57	6763b46518e4b44b2be6c127	PersonalGainsRImportant
1.17	10	58	6763b46518e4b44b2be6c127	InnoExec
1.23	10	59	6763b46518e4b44b2be6c127	ConfidentAbility2Assemble
1.26	10	60	6763b46518e4b44b2be6c127	StrongTeamPerform
1.19	10	61	6763b46518e4b44b2be6c127	TrustIndWRespons
1.42	10	62	6763b46518e4b44b2be6c127	ProvGuidance2Teams
2.13	10	63	6763b46518e4b44b2be6c127	CMyTeamGetRecog
-.30	10	64	6763b46518e4b44b2be6c127	TakeCreditofMyTeam
-.63	10	65	6763b46518e4b44b2be6c127	ComfortwConflict
2.10	10	66	6763b46518e4b44b2be6c127	BelieveValRelations
1.86	10	67	6763b46518e4b44b2be6c127	Adapt2DiffDynamics
1.23	10	68	6763b46518e4b44b2be6c127	IDindividTalent
1.46	10	69	6763b46518e4b44b2be6c127	OpenComms
-.05	10	70	6763b46518e4b44b2be6c127	Vulnerable
.96	10	71	6763b46518e4b44b2be6c127	TeamsDevBetSoluts
1.89	10	72	6763b46518e4b44b2be6c127	SafeTeamEnvirons
1.34	10	73	6763b46518e4b44b2be6c127	Dependable
1.34	10	74	6763b46518e4b44b2be6c127	RiskTkgImport
.86	10	75	6763b46518e4b44b2be6c127	ComfortWConstrctvConflict
1.22	10	76	6763b46518e4b44b2be6c127	DiffBetwnConstr&DestrtvConflct
.60	10	77	6763b46518e4b44b2be6c127	AddrssConflctsDirect
-.26	10	78	6763b46518e4b44b2be6c127	ConflctLeadsBetOutcms
.88	10	79	6763b46518e4b44b2be6c127	WantConflictGoAway
.45	10	80	6763b46518e4b44b2be6c127	SeprtPersnFrmIssue
1.28	10	81	6763b46518e4b44b2be6c127	GoodEmpathizg
1.17	10	82	6763b46518e4b44b2be6c127	AdaptCommNeedsOthers
1.02	10	83	6763b46518e4b44b2be6c127	ComfortDelvrngSensFdbk
1.94	10	84	6763b46518e4b44b2be6c127	ListenB4Spkng
1.28	10	85	6763b46518e4b44b2be6c127	RemnCompsdNavDisagr
.57	10	86	6763b46518e4b44b2be6c127	DiscernEmotClues
.70	10	87	6763b46518e4b44b2be6c127	DiscEmotTrggrsConflct
1.52	10	88	6763b46518e4b44b2be6c127	Slf-Reflct2ImprEmotAwrnss
1.68	10	89	6763b46518e4b44b2be6c127	ComfortOwnRespnsOutcms
1.59	10	90	6763b46518e4b44b2be6c127	Cmmttd2Promises
1.40	10	91	6763b46518e4b44b2be6c127	AcknowledgeRoleInSucFail
1.34	10	92	6763b46518e4b44b2be6c127	ProActCommsDlysObstcls
1.40	10	93	6763b46518e4b44b2be6c127	NoSomthngUnreal
1.71	10	94	6763b46518e4b44b2be6c127	MeetDeadlines
1.94	10	95	6763b46518e4b44b2be6c127	LearnFrmMistakes
1.85	10	96	6763b46518e4b44b2be6c127	ComfortRecFdbkColleag
.70	10	97	6763b46518e4b44b2be6c127	BelieveBestSolProb
-1.49	10	98	6763b46518e4b44b2be6c127	ThinkWOActing
1.65	10	99	6763b46518e4b44b2be6c127	TkTime2UndstndComplxIssues
.37	10	100	6763b46518e4b44b2be6c127	DecsnsNtGoingExpected
1.05	10	101	6763b46518e4b44b2be6c127	Problems2Steps
1.12	10	102	6763b46518e4b44b2be6c127	RunThruScenarios
1.36	10	103	6763b46518e4b44b2be6c127	ExamMultiPerspctvs
.98	10	104	6763b46518e4b44b2be6c127	ConsiderAssumptns
1.86	10	105	6763b46518e4b44b2be6c127	Self-Aware
.88	10	106	6763b46518e4b44b2be6c127	ArticulateBiases
1.86	10	107	6763b46518e4b44b2be6c127	AskQs
-.26	10	108	6763b46518e4b44b2be6c127	PtMyselfUncomfrtSituations
1.34	10	109	6763b46518e4b44b2be6c127	ImCreative
1.79	10	110	6763b46518e4b44b2be6c127	PrepB4Mtg1stTime
1.17	10	111	6763b46518e4b44b2be6c127	MultiScenariosConsidProb
1.23	10	112	6763b46518e4b44b2be6c127	KnowNonneg
1.36	10	113	6763b46518e4b44b2be6c127	AdaptMsg2Audience
1.17	10	114	6763b46518e4b44b2be6c127	SeeSomeone
.26	10	115	6763b46518e4b44b2be6c127	WillingCompromise
1.28	10	116	6763b46518e4b44b2be6c127	ImCollaborative
1.58	10	117	6763b46518e4b44b2be6c127	ImAdaptivePerson
1.58	10	118	6763b46518e4b44b2be6c127	MntnComposureUndPressure
1.68	10	119	6763b46518e4b44b2be6c127	Open2DivPerspctvs
1.80	10	120	6763b46518e4b44b2be6c127	ThinkB4Speak
.26	10	121	6763b46518e4b44b2be6c127	InfluencedByOthers
1.23	10	122	6763b46518e4b44b2be6c127	NurtureConnctns
-.97	10	123	6763b46518e4b44b2be6c127	UsePeopl
1.86	10	124	6763b46518e4b44b2be6c127	Listen2Others
-.89	10	125	6763b46518e4b44b2be6c127	EasilyDistracted
1.71	10	126	6763b46518e4b44b2be6c127	Open2Feedback
.74	10	127	6763b46518e4b44b2be6c127	MovePstSmllTalk
.43	10	128	6763b46518e4b44b2be6c127	BuildRapportWAnyone
1.17	10	129	6763b46518e4b44b2be6c127	MaintainRelationships
.08	10	130	6763b46518e4b44b2be6c127	RelationshpsRTx
-.53	10	131	6763b46518e4b44b2be6c127	MakeDecWMissInfo
.83	10	132	6763b46518e4b44b2be6c127	IntentnlChoices
.70	10	133	6763b46518e4b44b2be6c127	ObjectiveDecisions
.88	10	134	6763b46518e4b44b2be6c127	ConsideredBiases
.26	10	135	6763b46518e4b44b2be6c127	Quick2Act
1.40	10	136	6763b46518e4b44b2be6c127	Resourceful
1.46	10	137	6763b46518e4b44b2be6c127	ConseqPotActions
.83	10	138	6763b46518e4b44b2be6c127	ExistFrame4Decisions
.81	10	139	6763b46518e4b44b2be6c127	DpAnalGuideDec
.88	10	140	6763b46518e4b44b2be6c127	ComfortSharIdeasPersSett
1.94	10	141	6763b46518e4b44b2be6c127	Observant
2.06	10	142	6763b46518e4b44b2be6c127	Listener
1.71	10	143	6763b46518e4b44b2be6c127	Reflect
-.07	10	144	6763b46518e4b44b2be6c127	SocialSitsDrainEnergy
.49	10	145	6763b46518e4b44b2be6c127	EnergizedMtgNewPeop
.53	10	146	6763b46518e4b44b2be6c127	SpeakUpPitchIdeas
.37	10	147	6763b46518e4b44b2be6c127	DrvnSocEng
-.97	10	148	6763b46518e4b44b2be6c127	Conversations
1.24	10	149	6763b46518e4b44b2be6c127	PreferActiveParticipate
1.24	11	1	682722f0d9b0c5db5a78c515	EnergizedByPotential
1.69	11	2	682722f0d9b0c5db5a78c515	EagertoPursue
1.42	11	3	682722f0d9b0c5db5a78c515	PursuePerfection
.81	11	4	682722f0d9b0c5db5a78c515	ComfortUnchartedT
.26	11	5	682722f0d9b0c5db5a78c515	ActBeforeThinkg
1.45	11	6	682722f0d9b0c5db5a78c515	Adventurous
.75	11	7	682722f0d9b0c5db5a78c515	ComfDecUncert
1.90	11	8	682722f0d9b0c5db5a78c515	Pass2Inovate
.43	11	9	682722f0d9b0c5db5a78c515	InternReas2Compl
1.78	11	10	682722f0d9b0c5db5a78c515	CommunIdeas
2.08	11	11	682722f0d9b0c5db5a78c515	ShapeMyPath
.09	11	12	682722f0d9b0c5db5a78c515	Procrastinate
3.00	11	13	682722f0d9b0c5db5a78c515	AlwaysMorLearn
-.03	11	14	682722f0d9b0c5db5a78c515	StruggleDecs
-.01	11	15	682722f0d9b0c5db5a78c515	KnowEnuf
.27	11	16	682722f0d9b0c5db5a78c515	DiscourageByFailure
-.55	11	17	682722f0d9b0c5db5a78c515	GiveUpChallenging
2.53	11	18	682722f0d9b0c5db5a78c515	DeterminedReachGls
.70	11	19	682722f0d9b0c5db5a78c515	SingularFocus
1.83	11	20	682722f0d9b0c5db5a78c515	Listen2Others
.09	11	21	682722f0d9b0c5db5a78c515	AnnoyedIfNoIdea
.81	11	22	682722f0d9b0c5db5a78c515	FollowTraditions
1.83	11	23	682722f0d9b0c5db5a78c515	GoBeyondComfZone
.01	11	24	682722f0d9b0c5db5a78c515	ObstaclesAsBlocks
2.19	11	25	682722f0d9b0c5db5a78c515	TackleChallenges
2.22	11	26	682722f0d9b0c5db5a78c515	MoveForward
2.56	11	27	682722f0d9b0c5db5a78c515	AskQuestions
2.48	11	28	682722f0d9b0c5db5a78c515	Slow2Adapt
3.03	11	29	682722f0d9b0c5db5a78c515	Persistent
1.67	11	30	682722f0d9b0c5db5a78c515	PivotWhenNeeded
2.93	11	31	682722f0d9b0c5db5a78c515	StandbyCommitements
2.93	11	32	682722f0d9b0c5db5a78c515	KeepPromises
1.57	11	33	682722f0d9b0c5db5a78c515	HandleFrustration
2.00	11	34	682722f0d9b0c5db5a78c515	ReflectOnFailure
2.38	11	35	682722f0d9b0c5db5a78c515	AcknowledgeMistakes
.02	11	36	682722f0d9b0c5db5a78c515	ComfortWFailure
.22	11	37	682722f0d9b0c5db5a78c515	GoesWrongIsMyFault
-.21	11	38	682722f0d9b0c5db5a78c515	Resistant2ChangeAfterFail
1.83	11	39	682722f0d9b0c5db5a78c515	AcceptRespons4Err
-.69	11	40	682722f0d9b0c5db5a78c515	FailureStopTrying
.81	11	41	682722f0d9b0c5db5a78c515	WorseFailures
-.39	11	42	682722f0d9b0c5db5a78c515	BetterFailurs
1.94	11	43	682722f0d9b0c5db5a78c515	IncorpEmrgInfo
1.72	11	44	682722f0d9b0c5db5a78c515	AdaptStances
2.26	11	45	682722f0d9b0c5db5a78c515	Open2Feedback
2.40	11	46	682722f0d9b0c5db5a78c515	HumbleInContributions
.52	11	47	682722f0d9b0c5db5a78c515	Others2knowWhatIdid
1.83	11	48	682722f0d9b0c5db5a78c515	FocusNeedsTeam
2.40	11	49	682722f0d9b0c5db5a78c515	Legacy2ElevateOthers
2.37	11	50	682722f0d9b0c5db5a78c515	ImAGoodListener
1.57	11	51	682722f0d9b0c5db5a78c515	SpeakUp@Mtgs
2.00	11	52	682722f0d9b0c5db5a78c515	ValueInputFromAll
1.83	11	53	682722f0d9b0c5db5a78c515	DrivenLongTrmSucc
2.65	11	54	682722f0d9b0c5db5a78c515	WholeTeamSucc
2.83	11	55	682722f0d9b0c5db5a78c515	TrustEss4Innovation
2.19	11	56	682722f0d9b0c5db5a78c515	TakeResp4Setbacks
